time,pulse
21:30:17,511
21:30:17,510
21:30:17,510
21:30:17,510
21:30:17,0
21:30:17,510
21:30:17,509
21:30:17,510
21:30:17,510
21:30:17,510
21:30:17,511
21:30:17,512
21:30:17,513
21:30:17,514
21:30:17,515
21:30:17,516
21:30:17,517
21:30:17,517
21:30:17,517
21:30:17,517
21:30:17,516
21:30:17,515
21:30:17,515
21:30:17,513
21:30:17,512
21:30:17,512
21:30:17,511
21:30:17,510
21:30:17,510
21:30:17,510
21:30:17,0
21:30:17,510
21:30:17,509
21:30:17,510
21:30:17,510
21:30:17,510
21:30:17,511
21:30:17,512
21:30:17,513
21:30:17,514
21:30:17,515
21:30:17,516
21:30:17,517
21:30:17,517
21:30:17,517
21:30:17,517
21:30:17,516
21:30:17,515
21:30:17,515
21:30:17,513
21:30:17,512
21:30:17,512
21:30:17,511
21:30:17,510
21:30:17,510
21:30:17,510
21:30:18,489
21:30:18,502
21:30:18,517
21:30:18,528
21:30:18,536
21:30:18,541
21:30:18,542
21:30:18,542
21:30:18,540
21:30:18,536
21:30:18,532
21:30:18,528
21:30:18,523
21:30:18,519
21:30:18,515
21:30:18,512
21:30:18,510
21:30:19,508
21:30:19,506
21:30:19,506
21:30:19,505
21:30:19,505
21:30:19,506
21:30:19,507
21:30:19,508
21:30:19,509
21:30:19,509
21:30:19,509
21:30:19,510
21:30:19,510
21:30:19,510
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,512
21:30:19,512
21:30:19,513
21:30:19,514
21:30:19,515
21:30:19,515
21:30:19,516
21:30:19,517
21:30:19,517
21:30:19,517
21:30:19,517
21:30:19,516
21:30:19,515
21:30:19,515
21:30:19,515
21:30:19,514
21:30:19,513
21:30:19,513
21:30:19,512
21:30:19,512
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,510
21:30:19,510
21:30:19,509
21:30:19,509
21:30:19,509
21:30:19,509
21:30:19,509
21:30:19,510
21:30:19,510
21:30:19,510
21:30:19,511
21:30:19,511
21:30:19,510
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,510
21:30:19,510
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,512
21:30:19,513
21:30:19,514
21:30:19,514
21:30:19,515
21:30:19,516
21:30:19,518
21:30:19,517
21:30:19,518
21:30:19,517
21:30:19,517
21:30:19,517
21:30:19,516
21:30:19,516
21:30:19,515
21:30:19,514
21:30:19,513
21:30:19,512
21:30:19,512
21:30:19,512
21:30:19,512
21:30:19,512
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:19,511
21:30:20,511
21:30:20,510
21:30:20,511
21:30:20,511
21:30:20,511
21:30:20,510
21:30:20,510
21:30:20,511
21:30:20,510
21:30:20,510
21:30:20,511
21:30:20,511
21:30:20,511
21:30:20,510
21:30:20,511
21:30:20,511
21:30:20,511
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,511
21:30:20,512
21:30:20,512
21:30:20,514
21:30:20,516
21:30:20,516
21:30:20,517
21:30:20,518
21:30:20,518
21:30:20,517
21:30:20,517
21:30:20,516
21:30:20,515
21:30:20,515
21:30:20,514
21:30:20,513
21:30:20,513
21:30:20,512
21:30:20,511
21:30:20,511
21:30:20,510
21:30:20,509
21:30:20,509
21:30:20,509
21:30:20,509
21:30:20,509
21:30:20,509
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,511
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,509
21:30:20,509
21:30:20,510
21:30:20,510
21:30:20,509
21:30:20,510
21:30:20,509
21:30:20,510
21:30:20,510
21:30:20,510
21:30:20,511
21:30:20,512
21:30:20,513
21:30:20,514
21:30:20,515
21:30:20,516
21:30:20,518
21:30:20,517
21:30:20,518
21:30:20,518
21:30:20,518
21:30:20,516
21:30:20,515
21:30:20,514
21:30:20,513
21:30:20,512
21:30:20,511
21:30:20,510
21:30:21,510
21:30:21,510
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,511
21:30:21,511
21:30:21,510
21:30:21,510
21:30:21,511
21:30:21,511
21:30:21,511
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,509
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,511
21:30:21,511
21:30:21,513
21:30:21,514
21:30:21,515
21:30:21,517
21:30:21,517
21:30:21,517
21:30:21,517
21:30:21,517
21:30:21,517
21:30:21,516
21:30:21,515
21:30:21,514
21:30:21,514
21:30:21,513
21:30:21,512
21:30:21,512
21:30:21,511
21:30:21,510
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,508
21:30:21,509
21:30:21,509
21:30:21,509
21:30:21,510
21:30:21,510
21:30:21,511
21:30:21,511
21:30:21,511
21:30:21,511
21:30:21,511
21:30:21,511
21:30:21,511
21:30:21,511
21:30:21,510
21:30:21,511
21:30:21,511
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,511
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,510
21:30:21,511
21:30:21,511
21:30:21,512
21:30:21,513
21:30:21,515
21:30:21,516
21:30:21,517
21:30:21,518
21:30:21,518
21:30:21,518
21:30:22,517
21:30:22,517
21:30:22,516
21:30:22,514
21:30:22,513
21:30:22,513
21:30:22,512
21:30:22,511
21:30:22,511
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,509
21:30:22,509
21:30:22,509
21:30:22,509
21:30:22,509
21:30:22,509
21:30:22,510
21:30:22,509
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,511
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,511
21:30:22,511
21:30:22,512
21:30:22,513
21:30:22,514
21:30:22,515
21:30:22,516
21:30:22,516
21:30:22,517
21:30:22,517
21:30:22,517
21:30:22,517
21:30:22,516
21:30:22,515
21:30:22,515
21:30:22,514
21:30:22,513
21:30:22,512
21:30:22,511
21:30:22,511
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,509
21:30:22,509
21:30:22,509
21:30:22,508
21:30:22,509
21:30:22,509
21:30:22,509
21:30:22,510
21:30:22,509
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,511
21:30:22,510
21:30:22,511
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,511
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,510
21:30:22,509
21:30:22,509
21:30:22,510
21:30:22,510
21:30:22,511
21:30:23,512
21:30:23,513
21:30:23,514
21:30:23,515
21:30:23,516
21:30:23,517
21:30:23,517
21:30:23,517
21:30:23,516
21:30:23,516
21:30:23,515
21:30:23,515
21:30:23,514
21:30:23,513
21:30:23,512
21:30:23,511
21:30:23,511
21:30:23,510
21:30:23,510
21:30:23,509
21:30:23,509
21:30:23,509
21:30:23,509
21:30:23,508
21:30:23,509
21:30:23,509
21:30:23,510
21:30:23,509
21:30:23,510
21:30:23,510
21:30:23,511
21:30:23,511
21:30:23,511
21:30:23,511
21:30:23,512
21:30:23,511
21:30:23,511
21:30:23,511
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,510
21:30:23,511
21:30:23,513
21:30:23,514
21:30:23,515
21:30:23,516
21:30:23,517
21:30:23,517
21:30:23,517
21:30:23,517
21:30:23,516
21:30:23,516
21:30:23,515
21:30:23,514
21:30:23,513
21:30:23,512
21:30:23,511
21:30:23,511
21:30:23,510
21:30:23,510
21:30:23,509
21:30:23,508
21:30:23,508
21:30:23,508
21:30:23,508
21:30:23,508
21:30:23,509
21:30:23,509
21:30:23,509
21:30:23,510
21:30:23,510
21:30:23,511
21:30:23,510
21:30:23,511
21:30:23,511
21:30:23,511
21:30:23,511
21:30:23,510
21:30:23,511
21:30:23,511
21:30:23,510
21:30:23,510
21:30:23,510
21:30:24,511
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,511
21:30:24,511
21:30:24,512
21:30:24,514
21:30:24,515
21:30:24,516
21:30:24,517
21:30:24,517
21:30:24,517
21:30:24,517
21:30:24,517
21:30:24,516
21:30:24,515
21:30:24,515
21:30:24,514
21:30:24,513
21:30:24,512
21:30:24,512
21:30:24,511
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,509
21:30:24,509
21:30:24,509
21:30:24,509
21:30:24,509
21:30:24,508
21:30:24,509
21:30:24,509
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,511
21:30:24,511
21:30:24,511
21:30:24,511
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,511
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,509
21:30:24,510
21:30:24,509
21:30:24,509
21:30:24,510
21:30:24,510
21:30:24,511
21:30:24,511
21:30:24,512
21:30:24,514
21:30:24,515
21:30:24,516
21:30:24,517
21:30:24,518
21:30:24,518
21:30:24,518
21:30:24,518
21:30:24,517
21:30:24,516
21:30:24,516
21:30:24,515
21:30:24,514
21:30:24,513
21:30:24,513
21:30:24,512
21:30:24,511
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,509
21:30:24,510
21:30:24,509
21:30:24,509
21:30:24,509
21:30:24,509
21:30:24,509
21:30:24,509
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:24,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,511
21:30:25,510
21:30:25,512
21:30:25,512
21:30:25,513
21:30:25,513
21:30:25,515
21:30:25,515
21:30:25,517
21:30:25,517
21:30:25,517
21:30:25,517
21:30:25,517
21:30:25,516
21:30:25,516
21:30:25,515
21:30:25,514
21:30:25,513
21:30:25,513
21:30:25,512
21:30:25,511
21:30:25,511
21:30:25,510
21:30:25,510
21:30:25,509
21:30:25,509
21:30:25,509
21:30:25,508
21:30:25,508
21:30:25,509
21:30:25,509
21:30:25,509
21:30:25,509
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,510
21:30:25,511
21:30:25,510
21:30:25,511
21:30:25,511
21:30:25,510
21:30:25,511
21:30:25,511
21:30:25,510
